name,value
AFC bo bit tet 200g,27500
Aquafina 500ml,5000
Banh Choco-pie hop 66g (2cai),11700
Banh Choco-pie hop 198g (6cai),32000
Banh Cookie Andersen 100g,19000
Khan Uot Softify 20 to cao cap,9000
Banh cracker khoai tay Omeli hop 128g,24000
Banh cracker man vung dua Omeli hop 128g,24000
Banh Cream Kem dau 85g,7000
Banh Cream socola kem socola 85g,7000
Banh Cream socola 85g,7000
Banh gao pho mai bap One One 118g,30000
Banh gao Shouyu mat ong Ichi 100g,20000
Banh gau nhan kem sua Meiji Hello Panda hop 50g,19000
Banh Hello Panda Matcha 50g,19000
Banh Kitkat socola 35g,17000
Banh mi tuoi 6 mui cha bong Kinh Do o 80g,10000
Banh Nabati socola 52g,6500
Banh Omeli Chocolate Pie hop 300g,43000
Banh Oreo Kem Lanh Viet Quat 133g,16500
Banh Pho Mai Cal Cheese 53g ---200,6500
Banh Pho Mai Cal Cheese 53g,6500
Banh phu socola vi bo sua Solite hop 280g,46000
Banh Pillows Nhan Socola 100g,10500
Banh Pocky Chocolate 40g,15500
Banh Pocky Cookies Cream Taste 40g,15500
Banh Pocky Huong dau 40g,15500
Banh Pocky Matcha 40g,15500
Banh que Mix huong vi ga cay goi 60g,14000
Banh que Mix vi ot cay goi 60g,14000
Banh que vi kem cam Cosy goi 132g,14000
Banh que vi kem la dua Cosy 132g,14000
Banh que vi kem so co la Cosy goi 132g,14000
Banh quy hat socola yen mach Cosy Original goi 80g,12000
Banh quy sua cosy marie 432g,46000
Banh StrawBerry bauli 45g,8000
Banh xop pho mai Richeese Ahh Triple hop 160g,22000
Bia Sai Gon Lager 330ml,10500
Bich Keo MaLai Vi Khoai Mon Taro 67g,14000
Binh cach nhiet co khoa T,649000
Binh giu nhiet lovely 500ml,543000
Bo 2 cai luoi dao cao rau 2 luoi Gillette Vector,28000
Bo 4 cai luoi dao cao rau 2 luoi Gillette Vector,54000
Bo thuc vat Meizan hu 200g,12000
Bot banh ran Ajimoto vi truyen thong 200g,14500
Bot bap Tai Ky goi 150g,8000
Banh quy sua Cosy Marie hop 336g,44500
Bot cao rau Gillette huong chanh 175g,79000
Bot chien gion Aji-Quick goi 150g,9200
Bot chien gion Meizan 150g do,10000
Bot chien gion Meizan 150g xanh,10000
Bot chien tam uop cay Tai Ky goi 60g,6800
Bot mi da dung Meizan cao cap goi 500g,11500
Bot mi da dung Tai Ky goi 500g,11500
Bot nang da dung Meizan goi 400g,13500
Bot nang Tai Ky goi 1kg,35000
Bot ngot Ajinomoto goi 400g,32000
Bot thach khuc bach huong socola Dragon hop 106g,16500
C2 huong chanh chai 455ml,9000
C2 huong tra dao chai 455ml,9000
C2 Tao tra xanh 230ml,7000
Ca nuc xot ca 3 Co Gai hop 190g,24000
Ca phe sua G7 3 in 1 288g (18 goi x 16g),37000
Ca phe sua G7 gu manh X2 300g (12 goi x 25g),44000
Ca sot ca chua HiChef 155g,18000
Chao nam Dong Co vifon 70g,7100
Chao suon Vifon 70g,7700
Chao yen Vifon 50g,7700
Dao cao rau 2 luoi Gillette Vector,30500
Dao cao rau luoi don Gillette Super Thin,13500
Dao roc giay lon 18mm TTH,32500
